bioguide_id,first_name,last_name,last_name_upper,full_name,state,party,type,term_start,term_end,state_rank
B001236,John,Boozman,BOOZMAN,John Boozman,AR,Republican,sen,2017-01-03,2023-01-03,senior
B001236,John,Boozman,BOOZMAN,John Boozman,AR,Republican,sen,2023-01-03,2029-01-03,senior
B001260,Vern,Buchanan,BUCHANAN,Vern Buchanan,FL,Republican,rep,2013-01-03,2015-01-03,
B001260,Vern,Buchanan,BUCHANAN,Vern Buchanan,FL,Republican,rep,2015-01-06,2017-01-03,
B001260,Vern,Buchanan,BUCHANAN,Vern Buchanan,FL,Republican,rep,2017-01-03,2019-01-03,
B001260,Vern,Buchanan,BUCHANAN,Vern Buchanan,FL,Republican,rep,2019-01-03,2021-01-03,
B001260,Vern,Buchanan,BUCHANAN,Vern Buchanan,FL,Republican,rep,2021-01-03,2023-01-03,
B001260,Vern,Buchanan,BUCHANAN,Vern Buchanan,FL,Republican,rep,2023-01-03,2025-01-03,
B001260,Vern,Buchanan,BUCHANAN,Vern Buchanan,FL,Republican,rep,2025-01-03,2027-01-03,
C000059,Ken,Calvert,CALVERT,Ken Calvert,CA,Republican,rep,2013-01-03,2015-01-03,
C000059,Ken,Calvert,CALVERT,Ken Calvert,CA,Republican,rep,2015-01-06,2017-01-03,
C000059,Ken,Calvert,CALVERT,Ken Calvert,CA,Republican,rep,2017-01-03,2019-01-03,
C000059,Ken,Calvert,CALVERT,Ken Calvert,CA,Republican,rep,2019-01-03,2021-01-03,
C000059,Ken,Calvert,CALVERT,Ken Calvert,CA,Republican,rep,2021-01-03,2023-01-03,
C000059,Ken,Calvert,CALVERT,Ken Calvert,CA,Republican,rep,2023-01-03,2025-01-03,
C000059,Ken,Calvert,CALVERT,Ken Calvert,CA,Republican,rep,2025-01-03,2027-01-03,
C001047,Shelley,Capito,CAPITO,Shelley Moore Capito,WV,Republican,rep,2013-01-03,2015-01-03,
C001047,Shelley,Capito,CAPITO,Shelley Moore Capito,WV,Republican,sen,2015-01-06,2021-01-03,junior
C001047,Shelley,Capito,CAPITO,Shelley Moore Capito,WV,Republican,sen,2021-01-03,2027-01-03,senior
C001072,André,Carson,CARSON,André Carson,IN,Democrat,rep,2013-01-03,2015-01-03,
C001072,André,Carson,CARSON,André Carson,IN,Democrat,rep,2015-01-06,2017-01-03,
C001072,André,Carson,CARSON,André Carson,IN,Democrat,rep,2017-01-03,2019-01-03,
C001072,André,Carson,CARSON,André Carson,IN,Democrat,rep,2019-01-03,2021-01-03,
C001072,André,Carson,CARSON,André Carson,IN,Democrat,rep,2021-01-03,2023-01-03,
C001072,André,Carson,CARSON,André Carson,IN,Democrat,rep,2023-01-03,2025-01-03,
C001072,André,Carson,CARSON,André Carson,IN,Democrat,rep,2025-01-03,2027-01-03,
C001051,John,Carter,CARTER,John R. Carter,TX,Republican,rep,2013-01-03,2015-01-03,
C001051,John,Carter,CARTER,John R. Carter,TX,Republican,rep,2015-01-06,2017-01-03,
C001051,John,Carter,CARTER,John R. Carter,TX,Republican,rep,2017-01-03,2019-01-03,
C001051,John,Carter,CARTER,John R. Carter,TX,Republican,rep,2019-01-03,2021-01-03,
C001051,John,Carter,CARTER,John R. Carter,TX,Republican,rep,2021-01-03,2023-01-03,
C001051,John,Carter,CARTER,John R. Carter,TX,Republican,rep,2023-01-03,2025-01-03,
C001051,John,Carter,CARTER,John R. Carter,TX,Republican,rep,2025-01-03,2027-01-03,
C001075,Bill,Cassidy,CASSIDY,Bill Cassidy,LA,Republican,rep,2013-01-03,2015-01-03,
C001075,Bill,Cassidy,CASSIDY,Bill Cassidy,LA,Republican,sen,2015-01-06,2021-01-03,senior
C001075,Bill,Cassidy,CASSIDY,Bill Cassidy,LA,Republican,sen,2021-01-03,2027-01-03,senior
C001066,Kathy,Castor,CASTOR,Kathy Castor,FL,Democrat,rep,2013-01-03,2015-01-03,
