file_id,date_standard,chamber,speaker_full,speaker_last,party,title,is_speech,speech_category,speech_summary,immigration_terms,text_excerpt,text_length
CREC-2019-01-29-CREC-2019-01-29-pt1-PgS732,2019-01-29,Senate,Mr. CORNYN,CORNYN,R,FORCES FROM SYRIA AND AFGHANISTAN.,True,asylum,From the Congressional Record Online through the Government Publishing Office STRENGTHENING AMERICA'S SECURITY IN THE MIDDLE EAST ACT OF 2019 The PRESIDING OFFICER. The clerk will report the bill. The assistant bill clerk read as follows: A bill (S. 1) to make improvements to certain defense and sec...,"border, refugee, ice","
[Congressional Record Volume 165, Number 18 (Tuesday, January 29, 2019)]
[Senate]
[Pages S732-S736]
From the Congressional Record Online through the Government Publishing Office [www.gpo.gov]




    STRENGTHENING AMERICA'S SECURITY IN THE MIDDLE EAST ACT OF 2019

  The PRESIDING OFFICER. The clerk will report the bill.
  The assistant bill clerk read as follows:

       A bill (S. 1) to make improvements to certain defense and 
     security assistance provisions and to authorize the 
     app...",34489
CREC-2019-01-29-CREC-2019-01-29-pt1-PgS739,2019-01-29,Senate,Mr. SANDERS,SANDERS,I,VERMONT STATE OF THE UNION ESSAY WINNERS,True,general,"From the Congressional Record Online through the Government Publishing Office VERMONT STATE OF THE UNION ESSAY WINNERS Mr. SANDERS. Madam President, since 2010 I have sponsored a State of the Union essay contest for Vermont high school students. This contest gives students in my State the opportunit...","immigrant, migrant","
[Congressional Record Volume 165, Number 18 (Tuesday, January 29, 2019)]
[Senate]
[Pages S739-S740]
From the Congressional Record Online through the Government Publishing Office [www.gpo.gov]




                VERMONT STATE OF THE UNION ESSAY WINNERS

 Mr. SANDERS. Madam President, since 2010 I have sponsored a 
State of the Union essay contest for Vermont high school students. This 
contest gives students in my State the opportunity to articulate what 
issues they would prioritize if they we...",11619
CREC-2019-01-30-CREC-2019-01-30-pt1-PgS756-4,2019-01-30,Senate,Mr. CORNYN,CORNYN,R,Unknown,True,border_security,"From the Congressional Record Online through the Government Publishing Office STRENGTHENING AMERICA'S SECURITY IN THE MIDDLE EAST ACT OF 2019-- Resumed The PRESIDING OFFICER. Under the previous order, the Senate will resume consideration of S. 1, which the clerk will report. The senior assistant leg...","immigration, immigrant, migrant, border, refugee, wall, daca, dreamer, border security, mexico","
[Congressional Record Volume 165, Number 19 (Wednesday, January 30, 2019)]
[Senate]
[Pages S756-S763]
From the Congressional Record Online through the Government Publishing Office [www.gpo.gov]




   STRENGTHENING AMERICA'S SECURITY IN THE MIDDLE EAST ACT OF 2019--
                                Resumed

  The PRESIDING OFFICER. Under the previous order, the Senate will 
resume consideration of S. 1, which the clerk will report.
  The senior assistant legislative clerk read as follows:

     ...",59100
CREC-2019-01-30-CREC-2019-01-30-pt1-PgS766-3,2019-01-30,Senate,Mr. SANDERS,SANDERS,I,VERMONT STATE OF THE UNION ESSAY FINALISTS,True,children,"From the Congressional Record Online through the Government Publishing Office VERMONT STATE OF THE UNION ESSAY FINALISTS Mr. SANDERS. Mr. President, I ask to have printed in the Record some of the finalist essays written by Vermont High School students as part of the ninth annual State of the Union ...","immigration, immigrant, migrant, citizenship, border, asylum, refugee, wall, daca, ice","
[Congressional Record Volume 165, Number 19 (Wednesday, January 30, 2019)]
[Senate]
[Pages S766-S769]
From the Congressional Record Online through the Government Publishing Office [www.gpo.gov]




               VERMONT STATE OF THE UNION ESSAY FINALISTS

 Mr. SANDERS. Mr. President, I ask to have printed in the 
Record some of the finalist essays written by Vermont High School 
students as part of the ninth annual State of the Union essay contest 
conducted by my office.
  The essays follow, ...",27456
CREC-2019-01-31-CREC-2019-01-31-pt1-PgS795,2019-01-31,Senate,Mr. SANDERS,SANDERS,I,VERMONT STATE OF THE UNION ESSAY FINALISTS,True,children,"From the Congressional Record Online through the Government Publishing Office VERMONT STATE OF THE UNION ESSAY FINALISTS Mr. SANDERS. Mr. President, I ask to have printed in the Record some of the finalist essays written by Vermont High School students as part of the ninth annual State of the Union ...","immigration, immigrant, migrant, wall, caravan, mexico","
[Congressional Record Volume 165, Number 20 (Thursday, January 31, 2019)]
[Senate]
[Pages S795-S798]
From the Congressional Record Online through the Government Publishing Office [www.gpo.gov]




               VERMONT STATE OF THE UNION ESSAY FINALISTS

 Mr. SANDERS. Mr. President, I ask to have printed in the 
Record some of the finalist essays written by Vermont High School 
students as part of the ninth annual State of the Union essay contest 
conducted by my office.
  The essays follow, i...",27753
CREC-2019-01-31-CREC-2019-01-31-pt1-PgS802-2,2019-01-31,Senate,Ms. ERNST,ERNST,,Unknown,True,general,"From the Congressional Record Online through the Government Publishing Office By Ms. ERNST (for herself, Mr. Grassley, Mr. Sasse, Mrs. Fischer, Mr. Tillis, Mr. Thune, Mr. Cotton, Mrs. Hyde-Smith, Mr. Moran, Mr. Cassidy, Mr. Inhofe, Mrs. Blackburn, Mr. Scott of South Carolina, Mr. Cruz, Mr. Roberts, ...","immigration, immigrant, migrant, border, visa, ice","
[Congressional Record Volume 165, Number 20 (Thursday, January 31, 2019)]
[Senate]
[Page S802]
From the Congressional Record Online through the Government Publishing Office [www.gpo.gov]

      By Ms. ERNST (for herself, Mr. Grassley, Mr. Sasse, Mrs. Fischer, 
        Mr. Tillis, Mr. Thune, Mr. Cotton, Mrs. Hyde-Smith, Mr. Moran, 
        Mr. Cassidy, Mr. Inhofe, Mrs. Blackburn, Mr. Scott of South 
        Carolina, Mr. Cruz, Mr. Roberts, Mr. Perdue, and Mr. Cramer):
  S. 285. A bill to require...",5530
CREC-2019-01-31-CREC-2019-01-31-pt1-PgS802-3,2019-01-31,Senate,Mrs. FEINSTEIN,FEINSTEIN,D,Unknown,True,children,"From the Congressional Record Online through the Government Publishing Office By Mrs. FEINSTEIN (for herself, Mr. Leahy, Mrs. Murray, Mr. Wyden, Ms. Harris, Ms. Rosen, Mrs. Shaheen, Mr. King, Mr. Carper, Ms. Duckworth, Mr. Sanders, Mr. Bennet, Mr. Coons, Mr. Blumenthal, Ms. Klobuchar, Mr. Reed, Mr. ...","border, asylum, family separation","
[Congressional Record Volume 165, Number 20 (Thursday, January 31, 2019)]
[Senate]
[Pages S802-S803]
From the Congressional Record Online through the Government Publishing Office [www.gpo.gov]

      By Mrs. FEINSTEIN (for herself, Mr. Leahy, Mrs. Murray, Mr. 
        Wyden, Ms. Harris, Ms. Rosen, Mrs. Shaheen, Mr. King, Mr. 
        Carper, Ms. Duckworth, Mr. Sanders, Mr. Bennet, Mr. Coons, Mr. 
        Blumenthal, Ms. Klobuchar, Mr. Reed, Mr. Kaine, Ms. Hassan, Mr. 
        Markey, Mr. Murphy...",5078
CREC-2019-01-31-CREC-2019-01-31-pt1-PgS807-2,2019-01-31,Senate,Mr. SANDERS,SANDERS,I,Unknown,True,children,"From the Congressional Record Online through the Government Publishing Office By Mr. SANDERS: S. 309. A bill to amend the Internal Revenue Code of 1986 to reinstate estate and generation-skipping taxes, and for other purposes; to the Committee on Finance. Mr. SANDERS. Mr. President, all across our c...",wall,"
[Congressional Record Volume 165, Number 20 (Thursday, January 31, 2019)]
[Senate]
[Pages S807-S809]
From the Congressional Record Online through the Government Publishing Office [www.gpo.gov]

      By Mr. SANDERS:
  S. 309. A bill to amend the Internal Revenue Code of 1986 to 
reinstate estate and generation-skipping taxes, and for other purposes; 
to the Committee on Finance.
  Mr. SANDERS. Mr. President, all across our country--in Vermont, in 
Illinois, in California--all across this countr...",19101
CREC-2019-01-31-CREC-2019-01-31-pt1-PgS810,2019-01-31,Senate,Mrs. FEINSTEIN,FEINSTEIN,D,TRAFFICKING AND MODERN SLAVERY PREVENTION MONTH DURING THE PERIOD,True,children,"From the Congressional Record Online through the Government Publishing Office SENATE RESOLUTION 36--SUPPORTING THE OBSERVATION OF NATIONAL TRAFFICKING AND MODERN SLAVERY PREVENTION MONTH DURING THE PERIOD BEGINNING ON JANUARY 1, 2019, AND ENDING ON FEBRUARY 1, 2019, TO RAISE AWARENESS OF, AND OPPOSI...",mexico,"
[Congressional Record Volume 165, Number 20 (Thursday, January 31, 2019)]
[Senate]
[Pages S810-S811]
From the Congressional Record Online through the Government Publishing Office [www.gpo.gov]




     SENATE RESOLUTION 36--SUPPORTING THE OBSERVATION OF NATIONAL 
   TRAFFICKING AND MODERN SLAVERY PREVENTION MONTH DURING THE PERIOD 
BEGINNING ON JANUARY 1, 2019, AND ENDING ON FEBRUARY 1, 2019, TO RAISE 
 AWARENESS OF, AND OPPOSITION TO, HUMAN TRAFFICKING AND MODERN SLAVERY

  Mrs. FEINSTEIN (for...",11448
CREC-2019-03-04-CREC-2019-03-04-pt1-PgH2319-8,2019-03-04,House,"APPOINTMENT OF MEMBERS TO SELECT COMMITTEE ON THE CLIMATE CRISIS

  T",T,,APPOINTMENT OF MEMBERS TO SELECT COMMITTEE ON THE CLIMATE CRISIS,True,other,"From the Congressional Record Online through the Government Publishing Office APPOINTMENT OF MEMBERS TO SELECT COMMITTEE ON THE CLIMATE CRISIS The SPEAKER pro tempore. The Chair announces the Speaker's appointment, pursuant to section 104(f)(1)(B) of House Resolution 6, 116th Congress, and the order...",mexico,"
[Congressional Record Volume 165, Number 38 (Monday, March 4, 2019)]
[House]
[Page H2319]
From the Congressional Record Online through the Government Publishing Office [www.gpo.gov]




    APPOINTMENT OF MEMBERS TO SELECT COMMITTEE ON THE CLIMATE CRISIS

  The SPEAKER pro tempore. The Chair announces the Speaker's 
appointment, pursuant to section 104(f)(1)(B) of House Resolution 6, 
116th Congress, and the order of the House of January 3, 2019, of the 
following Members to the Select Committe...",951
